scenario,policy,seed_mean,seed_std,seed_count,cyber_harm_auc_mean,cyber_harm_auc_std,cyber_harm_auc_count,misbelief_auc_mean,misbelief_auc_std,misbelief_auc_count,trust_auc_mean,trust_auc_std,trust_auc_count,uncertainty_auc_mean,uncertainty_auc_std,uncertainty_auc_count,polarization_auc_mean,polarization_auc_std,polarization_auc_count,protocol_attempted_mean,protocol_attempted_std,protocol_attempted_count,protocol_executed_mean,protocol_executed_std,protocol_executed_count,shield_interventions_mean,shield_interventions_std,shield_interventions_count,final_cyber_harm_mean,final_cyber_harm_std,final_cyber_harm_count,final_misbelief_mean,final_misbelief_std,final_misbelief_count,final_trust_mean,final_trust_std,final_trust_count,exfil_risk_auc_mean,exfil_risk_auc_std,exfil_risk_auc_count,services_down_auc_mean,services_down_auc_std,services_down_auc_count,compromised_auc_mean,compromised_auc_std,compromised_auc_count
exfiltration_scam,pipeline,0.5,0.7071067811865476,2,190.23181852085315,46.83617828474941,2,44.36590604289162,5.445529896549016,2,4.176926748777137,0.6504573773169651,2,54.29926030739201,0.8226900979246086,2,0.5993899625273748,0.4087289212083275,2,181.5,20.506096654409877,2,181.5,20.506096654409877,2,0.0,0.0,2,3.6833333333333336,0.72790403945674,2,0.921862702081921,0.0007830655572581349,2,0.0022000000000000006,0.0,2,50.50205689716073,0.7441914151552258,2,0.0,0.0,2,11.926470588235295,6.717514421272202,2
exfiltration_scam,pipeline+shield,0.5,0.7071067811865476,2,180.61935496465347,32.74892415303658,2,52.08239185941591,0.5286972221218948,2,5.038806709448351,1.3915576276677049,2,53.77293463134676,0.9467889659740547,2,0.30093420674285004,0.007665589097147325,2,164.5,17.67766952966369,2,0.0,0.0,2,56.0,0.0,2,3.3205882352941174,0.2980940352060936,2,0.9996398042335197,9.237296783293123e-06,2,0.0022000000000000006,0.0,2,50.702014352921,0.7253049538734052,2,0.0,0.0,2,11.794117647058826,6.821500712623165,2
exfiltration_scam,vchimera,0.5,0.7071067811865476,2,174.09707116512334,4.136570119011145,2,50.24789966417046,0.49619903178619024,2,8.207544093726769,0.028085816781100413,2,51.31163627217132,0.030435351482996403,2,1.8350315798937142,0.00024208089119664164,2,59.0,0.0,2,59.0,0.0,2,0.0,0.0,2,3.227450980392157,0.041594516540385,2,0.986221676425676,0.0003719911711643305,2,0.0845242495549752,0.0,2,50.078813193222395,0.15811423951446751,2,0.0,0.0,2,15.058823529411768,1.9549422773981027,2
exfiltration_scam,vchimera+shield,0.5,0.7071067811865476,2,174.09707116512334,4.136570119011145,2,51.3586733322397,0.37922841926474926,2,5.013662247989582,0.016805982939638472,2,53.83087568070858,0.08354536062136099,2,0.909418686364375,0.000784994638902071,2,40.0,0.0,2,0.0,0.0,2,40.0,0.0,2,3.227450980392157,0.041594516540385,2,0.9996573859336393,0.00048452945930711674,2,0.0022000000000000006,0.0,2,50.078813193222395,0.15811423951446751,2,0.0,0.0,2,15.058823529411768,1.9549422773981027,2
outage_rumor,pipeline,0.5,0.7071067811865476,2,108.28098732533907,2.1367010016789356,2,42.32695551261471,0.05950136095606979,2,9.201958745890316,0.3322485444762962,2,47.25067587212291,0.4001843566809552,2,0.6698555399511563,0.007421670655319758,2,139.0,2.8284271247461903,2,139.0,2.8284271247461903,2,0.0,0.0,2,2.616666666666667,0.07071067811865465,2,0.8620310758636989,0.001126563892308524,2,0.0022,0.0,2,38.158024541820794,0.5286957472083355,2,0.0,0.0,2,4.333333333333334,3.2998316455372225,2
outage_rumor,pipeline+shield,0.5,0.7071067811865476,2,108.28098732533907,2.1367010016789356,2,45.041212163653256,0.17350298288736649,2,6.9688721669229565,0.04361843881579245,2,50.00443915806967,0.025355645551310372,2,0.5335153649591591,0.012088791131754189,2,121.0,1.4142135623730951,2,0.0,0.0,2,52.5,0.7071067811865476,2,2.616666666666667,0.07071067811865465,2,0.9990058630473773,0.0008830311362784742,2,0.007366626986555034,0.007306713956108964,2,38.158024541820794,0.5286957472083355,2,0.0,0.0,2,4.333333333333334,3.2998316455372225,2
outage_rumor,vchimera,0.5,0.7071067811865476,2,117.584603681142,19.513829415755858,2,32.390493489186625,2.0098261096637096,2,20.30936045834237,1.3175027268101744,2,43.04553055989932,0.760863423613573,2,2.019201908923714,0.001785060648260111,2,56.0,0.0,2,56.0,0.0,2,0.0,0.0,2,2.8500000000000005,0.4006938426723769,2,0.9819194888190973,0.0007523197758899342,2,0.08487577920169545,0.0,2,38.01572894597364,1.1881715206351613,2,0.0,0.0,2,6.283333333333332,6.0575480921647555,2
outage_rumor,vchimera+shield,0.5,0.7071067811865476,2,114.37597841304844,12.21967077645578,2,42.47026750607729,0.795108365572061,2,8.742910107964573,0.0919401641336642,2,48.91018072055334,0.21931421813321703,2,1.5787035791442487,0.07829892620582221,2,38.0,0.0,2,0.0,0.0,2,38.0,0.0,2,2.7333333333333334,0.18856180831641264,2,0.9997525152035026,0.0003391479971895705,2,0.0022,0.0,2,38.20120230896141,0.6260758173918453,2,0.0,0.0,2,8.000000000000002,7.542472332656508,2
ransomware_rumor,pipeline,0.5,0.7071067811865476,2,3.0138888888888893,1.905259938197087,2,13.673759636686947,0.43268228780585777,2,32.95754644416038,0.3018917188634989,2,4.441933593281388,0.033719158647730216,2,1.7090784951303994,0.6270591210019506,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.09722222222222221,0.09820927516479827,2,0.1906962895404639,0.013221208743304399,2,0.5493728555139465,0.0044596906696267365,2,0.0,0.0,2,0.0,0.0,2,3.0138888888888893,1.905259938197087,2
ransomware_rumor,pipeline+shield,0.5,0.7071067811865476,2,3.0138888888888893,1.905259938197087,2,13.673759636686947,0.43268228780585777,2,32.95754644416038,0.3018917188634989,2,4.441933593281388,0.033719158647730216,2,1.7090784951303994,0.6270591210019506,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.09722222222222221,0.09820927516479827,2,0.1906962895404639,0.013221208743304399,2,0.5493728555139465,0.0044596906696267365,2,0.0,0.0,2,0.0,0.0,2,3.0138888888888893,1.905259938197087,2
ransomware_rumor,vchimera,0.5,0.7071067811865476,2,51.50217340453207,59.28219214763802,2,16.981283172635276,11.633141415574315,2,32.20495217296886,12.459653251482692,2,15.638331256201173,17.37095359484709,2,1.9980731223674384,0.14737433964666577,2,22.0,21.213203435596427,2,22.0,21.213203435596427,2,0.0,0.0,2,1.6694444444444445,2.046681294434396,2,0.5296903822302197,0.6430961585066094,2,0.3882882817779144,0.42935597428835875,2,13.681543466706499,19.348624324813343,2,0.0,0.0,2,10.73611111111111,1.6302739677356541,2
ransomware_rumor,vchimera+shield,0.5,0.7071067811865476,2,17.148561467646537,6.547740454367533,2,9.988054176970227,0.11468239185386266,2,39.11864999455955,0.9157857722797148,2,4.120471139859375,0.7644510411172096,2,1.8654173573477988,0.19416489334250858,2,6.0,0.0,2,0.0,0.0,2,6.0,0.0,2,1.2652270108629762,0.33008533183478933,2,0.1440862391434547,0.04878936332100917,2,0.3958395314244934,0.19569023611717465,2,1.8730834953948925,1.2977598673505077,2,0.0,0.0,2,9.527777777777779,2.514157444218837,2
